Descripcion_del_proceso,Cadena_MOST,Standard_Time
"Tomar radio , sacar de la bolsa y tirar basura",A1B0G1M3 A1,3
Aplicar VICG,X20,3
Tomar dos washas y colocarlas,A1B0G3 A1B0P3,3
Regresar a posicion inicial,A6,3
"Tomar escutcheon, realizar prueba funcional",A1B0G1 A1 M3,3
Colocar escutcheon en charola,A1B0G1A1P3,3
Tomar etiqueta y pegar en faceplate,A1G1A1P3,3
Tomar escutcheon y colocar en nido girando la pieza 180 grados,A1B0G1 A1B0P1 ,3
"Atornillar backplate, dejar desarmador",P3F3 A1B0P0,3
"Tomar etiqueta de charola y colocar, tirar basura",A1B0G1 A1B0P3 ,3
"Tomar paloma y washa, juntar",A1B0G1 A1B0P1,3
Colocar en nido de maquina,A1B0P3,3
Tomar escutcheon y colocar en nido,A1B0G1 A1B0P3,3
Tomar washas y colocar en nido,A1B0G1 A1B0P3,3
"Tomar escutcheon, realizar prueba funcional",A1B0G1 A1 M3,3
Colocar en charola,A1B0P3,3
Tomar antidrill plate y colocar,A1B0G1 A1B0P3,3
Tomar moving wall y colocar,A1B0G1 A1B0P3,3
Tomar adaptor y colocar,A1B0G1 A1B0P3,3
"Tomar cam y componente, juntar",A1B0G1 A1B0P3,3
Juntar los cuatro componentes y colocar,A1G1P3,3
Tomar harness y colocar,A1B0G1 A1B0P3,3
Tomar backplate y colocar,A1B0G1 A1B0P3,3
Tomar driver bar y colocar,A1B0G1 A1B0P3,3
Tomar 4 tornillos y desarmador,A1B0G3A1,3
Empujar charola,A1B0G3 M1 ,3
Tomar subensamble y Escanar,A3B0G3 M1I1,3
Tomar subensamble y colocar en charola,A1B0G3 A1B0P3,3
Tomar subensamble y Escanar,A3B0G3 M1I1,3
Tomar subensamble y Colocar en Charola,A3B0G3 M1I1,3
Tomar subensamble y Escanar,A3B0G3 M1I1,3
Tomar subensamble y Colocar en Charola,A3B0G3 M1I1,3
"Tomar accesorios, escanear y colocar en charola",A1B0G1 M1I1 A1B0P1,3
"Tomar escutcheon interior, escanear ",A1B0G1 M1I1 A1B0P1,3
"Colocar en bolsa, envolver y colocar en charola ",A1B0P3 G1 M1 A1,3
"Tocar en pantalla dibujo acabado, dibujo acabado, palanca acabado y palanca acabado ",A2B0G8 A6B0P0,3
"Tomar battery holder, escanear y colocar en charola",A1B0G1 M1I1 A1B0P1,3
Tomar etiqueta y colocar en escutheon ,A1B0G1 A1B0P3,3
Tomar escutcheon y juntar con battery holder,A1B0G1 A1B0P3,3
